,ISO_code,Country,Region,FreeSc,FreeRk,FreeQuart,RoLaw,FemSafe,PersSafe,RelFree,ExpFree,GenderIdty,PersFreeSc,PersFreeRk,EcoFreeSc,EcoFreeRk,HappyRk,HappySc,GDP_per_capita,Population,LifeAge,RelImp,PeaceRk,CorruptSc,CorruptRk,HumDevRk,HumDevSc,Gend_Eq
71,ITA,Italy,Western Europe,8.04,32.0,1.0,6.5,10.0,9.9,8.0,9.1,9.0,8.67,31.0,7.41,46.0,48.0,5.96400022506714,34921.0,60673701.0,83.184,74.0,39.0,50.0,54.0,29.0,0.8809999999999999,9.13
72,CIV,Ivory Coast,Sub-Saharan Africa,6.59,101.0,3.0,4.0,6.9,7.1,9.4,8.7,10.0,7.2,67.0,5.97,134.0,128.0,4.17999982833862,1616.0,24437470.0,57.016999999999996,,119.0,36.0,103.0,165.0,0.512,1.5900000000000003
73,JAM,Jamaica,Latin America & the Caribbean,7.2,59.0,2.0,5.4,10.0,6.5,9.3,9.5,4.2,7.23,66.0,7.17,61.0,76.0,5.31099987030029,4776.0,2920848.0,74.267,70.0,94.0,44.0,68.0,96.0,0.725,5.88
74,JPN,Japan,East Asia,8.28,25.0,1.0,7.6,10.0,10.0,8.1,9.2,8.2,8.7,28.0,7.86,17.0,51.0,5.92000007629395,48294.0,127502725.0,84.29,13.0,10.0,73.0,20.0,19.0,0.9129999999999999,8.97
75,JOR,Jordan,Middle East & North Africa,6.84,80.0,2.0,5.8,5.0,8.0,6.3,6.6,5.0,6.23,115.0,7.44,43.0,74.0,5.33599996566772,3211.0,9785843.0,74.292,96.0,102.0,48.0,59.0,102.0,0.722,5.4
76,KAZ,Kazakhstan,Caucasus & Central Asia,6.9,73.0,2.0,4.5,10.0,9.0,5.5,6.2,9.0,6.69,90.0,7.1,68.0,60.0,5.8189997673034695,10842.0,18080019.0,72.72800000000001,64.0,69.0,31.0,122.0,50.0,0.813,8.030000000000001
77,KEN,Kenya,Sub-Saharan Africa,6.85,79.0,2.0,4.0,5.2,6.9,7.2,8.3,6.7,6.65,92.0,7.05,70.0,112.0,4.55299997329712,1157.0,50221142.0,65.90899999999999,94.0,124.0,28.0,143.0,147.0,0.574,4.510000000000001
78,KWT,Kuwait,Middle East & North Africa,6.19,124.0,4.0,5.3,5.0,7.9,4.6,7.5,3.8,5.97,123.0,6.41,114.0,39.0,6.10500001907349,34211.0,4056099.0,75.311,91.0,49.0,39.0,85.0,57.0,0.809,7.3
79,KGZ,Kyrgyzstan,Caucasus & Central Asia,6.98,67.0,2.0,3.8,8.8,8.5,7.1,6.2,10.0,7.05,76.0,6.92,77.0,98.0,5.0040001869201705,1072.0,6189733.0,71.193,72.0,111.0,29.0,135.0,122.0,0.6709999999999999,6.08
80,LAO,Laos,South Asia,6.2,123.0,4.0,3.8,8.8,8.5,6.7,5.8,8.8,5.74,132.0,6.67,95.0,,,1707.0,6953035.0,67.277,97.0,46.0,29.0,135.0,,,
81,LVA,Latvia,Eastern Europe,8.29,23.0,1.0,6.7,10.0,9.6,8.5,9.4,10.0,8.85,21.0,7.73,24.0,54.0,5.849999904632571,15462.0,1951097.0,75.048,40.0,31.0,58.0,40.0,39.0,0.8490000000000001,8.040000000000001
82,LBN,Lebanon,Middle East & North Africa,6.74,88.0,3.0,4.3,6.3,7.0,7.2,8.3,2.5,6.52,99.0,6.97,75.0,88.0,5.22499990463257,6335.0,6819373.0,78.833,80.0,148.0,28.0,143.0,93.0,0.732,6.1899999999999995
83,LSO,Lesotho,Sub-Saharan Africa,6.54,104.0,3.0,4.7,7.5,5.7,9.2,7.5,5.0,6.57,94.0,6.5,109.0,139.0,3.80800008773804,1392.0,2091534.0,52.946999999999996,,92.0,42.0,74.0,164.0,0.514,4.56
84,LBR,Liberia,Sub-Saharan Africa,6.35,113.0,3.0,3.8,5.0,7.7,9.2,7.2,1.3,6.13,118.0,6.56,105.0,148.0,3.5329999923706095,548.0,4702226.0,63.295,94.0,90.0,31.0,122.0,176.0,0.466,3.440000000000001
85,LBY,Libya,Middle East & North Africa,4.64,156.0,4.0,2.3,8.8,6.9,6.9,6.3,3.8,4.83,151.0,4.45,161.0,68.0,5.525000095367429,7086.0,6580724.0,72.52,,158.0,17.0,171.0,110.0,0.7040000000000001,8.299999999999999
86,LTU,Lithuania,Eastern Europe,8.32,22.0,1.0,6.8,10.0,9.4,8.5,9.5,9.2,8.76,25.0,7.88,16.0,52.0,5.90199995040894,16738.0,2845414.0,75.507,42.0,50.0,59.0,38.0,34.0,0.866,8.77
87,LUX,Luxembourg,Western Europe,8.56,6.0,1.0,8.0,10.0,10.0,9.1,9.7,9.0,9.26,5.0,7.86,17.0,18.0,6.86299991607666,107316.0,591910.0,81.955,39.0,,82.0,8.0,21.0,0.9079999999999999,9.34
88,MDG,Madagascar,Sub-Saharan Africa,6.32,115.0,3.0,3.6,8.8,8.4,7.5,8.3,6.3,6.51,101.0,6.14,126.0,144.0,3.64400005340576,422.0,25570512.0,66.311,93.0,59.0,24.0,155.0,162.0,0.518,
89,MWI,Malawi,Sub-Saharan Africa,6.6,99.0,3.0,4.9,7.5,8.8,8.5,7.8,5.8,7.13,73.0,6.06,131.0,136.0,3.97000002861023,513.0,17670196.0,63.278999999999996,99.0,38.0,31.0,122.0,172.0,0.48200000000000004,3.81
90,MYS,Malaysia,South Asia,6.52,106.0,3.0,5.4,7.5,8.5,3.9,6.8,2.3,5.7,134.0,7.34,52.0,42.0,6.08400011062622,11721.0,31104646.0,75.828,72.0,30.0,47.0,62.0,61.0,0.802,7.130000000000001
91,MLI,Mali,Sub-Saharan Africa,6.03,131.0,4.0,3.9,3.4,4.1,8.6,7.9,7.5,6.15,116.0,5.91,136.0,127.0,4.19000005722046,764.0,18512430.0,58.452,95.0,144.0,31.0,122.0,184.0,0.426,3.2200000000000006
92,MLT,Malta,Western Europe,8.37,20.0,1.0,7.0,10.0,9.8,8.4,8.0,9.2,8.77,24.0,7.97,11.0,27.0,6.52699995040894,28842.0,437933.0,82.221,86.0,,56.0,46.0,28.0,0.883,7.84
93,MRT,Mauritania,Sub-Saharan Africa,5.47,146.0,4.0,4.2,1.7,5.6,5.7,6.0,0.0,4.83,152.0,6.11,128.0,123.0,4.29199981689453,1345.0,4282570.0,64.464,98.0,129.0,28.0,143.0,161.0,0.524,3.83
94,MUS,Mauritius,Sub-Saharan Africa,7.52,50.0,2.0,6.3,7.5,8.9,8.0,9.4,1.3,6.98,78.0,8.07,9.0,64.0,5.62900018692017,10201.0,1264499.0,74.743,,26.0,50.0,54.0,66.0,0.7929999999999999,6.27
95,MEX,Mexico,Latin America & the Caribbean,6.65,92.0,3.0,3.9,8.8,5.4,7.6,7.7,6.7,6.38,106.0,6.93,76.0,25.0,6.57800006866455,10292.0,124777324.0,74.947,68.0,142.0,29.0,135.0,76.0,0.765,6.57
96,MDA,Moldova,Eastern Europe,6.93,71.0,2.0,4.5,10.0,9.2,6.0,7.4,10.0,7.2,68.0,6.66,97.0,56.0,5.837999820709231,1893.0,4059684.0,71.717,72.0,64.0,31.0,122.0,107.0,0.7090000000000001,7.74
97,MNG,Mongolia,East Asia,7.61,46.0,2.0,5.3,10.0,9.2,8.6,8.2,8.2,7.79,49.0,7.43,45.0,100.0,4.95499992370605,3996.0,3113786.0,69.509,,44.0,36.0,103.0,92.0,0.7290000000000001,6.99
98,MNE,Montenegro,Eastern Europe,7.43,53.0,2.0,5.2,8.8,9.1,8.9,7.7,9.0,8.03,45.0,6.84,83.0,83.0,5.23699998855591,7774.0,627563.0,76.667,71.0,65.0,46.0,64.0,52.0,0.813,8.68
99,MAR,Morocco,Middle East & North Africa,6.18,125.0,4.0,4.2,5.0,7.7,4.4,7.1,1.3,5.68,135.0,6.69,92.0,84.0,5.2350001335144,3354.0,35581255.0,76.218,93.0,78.0,40.0,81.0,121.0,0.675,5.18
100,MOZ,Mozambique,Sub-Saharan Africa,6.24,120.0,3.0,3.6,8.8,8.8,7.9,7.6,10.0,6.89,84.0,5.6,149.0,113.0,4.550000190734861,538.0,28649018.0,59.309,86.0,79.0,25.0,153.0,180.0,0.442,4.4799999999999995
101,MMR,Myanmar,South Asia,5.44,148.0,4.0,3.0,8.8,8.3,6.3,7.7,2.5,5.26,144.0,5.63,148.0,114.0,4.54500007629395,1489.0,53382523.0,66.558,97.0,106.0,30.0,130.0,145.0,0.5770000000000001,5.44
102,NAM,Namibia,Sub-Saharan Africa,6.75,87.0,3.0,5.6,8.8,7.1,8.7,8.3,6.5,6.97,80.0,6.53,106.0,111.0,4.57399988174438,6159.0,2402633.0,63.021,92.0,47.0,51.0,53.0,130.0,0.643,5.28
103,NPL,Nepal,South Asia,6.51,107.0,3.0,4.3,8.8,9.1,5.2,6.7,6.7,6.53,98.0,6.49,110.0,99.0,4.961999893188481,777.0,27632681.0,70.169,93.0,88.0,31.0,122.0,147.0,0.574,5.2
104,NLD,Netherlands,Western Europe,8.5,11.0,1.0,8.5,10.0,9.9,8.9,9.7,8.2,9.28,2.0,7.72,25.0,6.0,7.3769998550415,54268.0,17021347.0,82.00399999999999,26.0,21.0,82.0,8.0,10.0,0.932,9.559999999999999
105,NZL,New Zealand,Oceania,8.88,1.0,1.0,7.9,10.0,9.9,9.7,9.5,9.0,9.27,3.0,8.5,3.0,8.0,7.31400012969971,38514.0,4702034.0,82.00200000000001,33.0,2.0,89.0,1.0,14.0,0.92,8.64
106,NIC,Nicaragua,Latin America & the Caribbean,6.86,77.0,2.0,3.8,10.0,8.9,7.9,7.0,6.7,6.72,89.0,7.01,74.0,43.0,6.07100009918213,1963.0,6384846.0,74.068,84.0,71.0,26.0,151.0,126.0,0.653,5.44
107,NER,Niger,Sub-Saharan Africa,5.87,136.0,4.0,4.1,4.9,6.8,7.8,5.3,5.0,5.92,125.0,5.83,142.0,135.0,4.02799987792969,394.0,21602382.0,61.599,99.0,133.0,33.0,112.0,189.0,0.373,3.51
108,NGA,Nigeria,Sub-Saharan Africa,6.38,112.0,3.0,4.3,5.4,6.1,7.3,8.2,2.5,5.9,128.0,6.86,81.0,95.0,5.07399988174438,2412.0,190873244.0,53.95,83.0,149.0,27.0,148.0,158.0,0.5329999999999999,
109,MKD,North Macedonia,Eastern Europe,7.34,56.0,2.0,5.0,8.8,9.1,8.3,7.8,9.0,7.66,54.0,7.02,73.0,92.0,5.175000190734861,5257.0,2081996.0,75.589,88.0,103.0,35.0,107.0,82.0,0.758,8.51
110,NOR,Norway,Western Europe,8.44,17.0,1.0,8.6,10.0,9.9,7.4,9.8,9.2,9.26,6.0,7.62,32.0,1.0,7.537000179290769,91117.0,5296326.0,82.146,21.0,16.0,85.0,3.0,1.0,0.953,9.52
111,OMN,Oman,Middle East & North Africa,5.98,134.0,4.0,5.9,5.0,8.1,5.0,5.3,0.0,5.2,147.0,6.76,89.0,,,15876.0,4665928.0,77.393,,61.0,44.0,68.0,47.0,0.833,7.359999999999999
112,PAK,Pakistan,South Asia,5.69,140.0,4.0,3.5,5.0,6.3,4.0,7.2,5.8,5.47,140.0,5.91,136.0,80.0,5.26900005340576,1158.0,207906209.0,66.947,88.0,152.0,32.0,117.0,152.0,0.5579999999999999,4.59
113,PAN,Panama,Latin America & the Caribbean,7.69,44.0,2.0,4.4,10.0,8.7,8.4,8.7,9.0,7.72,51.0,7.66,31.0,30.0,6.4520001411438,11501.0,4106769.0,78.149,81.0,47.0,37.0,96.0,67.0,0.7929999999999999,5.389999999999999
114,PNG,Pap. New Guinea,Oceania,6.6,99.0,3.0,3.9,7.5,7.7,8.1,8.6,5.0,6.84,85.0,6.36,115.0,,,,,,,,,,,,
115,PRY,Paraguay,Latin America & the Caribbean,6.9,73.0,2.0,4.1,7.5,7.6,8.2,7.7,5.0,6.78,87.0,7.03,72.0,70.0,5.493000030517581,5285.0,6867061.0,73.992,92.0,68.0,29.0,135.0,98.0,0.722,5.329999999999999
116,PER,Peru,Latin America & the Caribbean,7.55,49.0,2.0,4.7,8.8,8.4,8.2,8.7,7.5,7.61,55.0,7.49,42.0,63.0,5.71500015258789,6314.0,31444298.0,76.286,82.0,73.0,37.0,96.0,82.0,0.7559999999999999,6.32
117,PHL,Philippines,South Asia,6.88,76.0,2.0,3.4,7.5,6.7,8.5,8.5,6.7,6.44,103.0,7.32,53.0,72.0,5.42999982833862,2884.0,105172925.0,70.952,86.0,136.0,34.0,111.0,106.0,0.7090000000000001,5.7299999999999995
118,POL,Poland,Eastern Europe,7.78,40.0,1.0,6.4,10.0,9.7,6.3,8.6,9.0,8.32,37.0,7.24,59.0,46.0,5.97300004959106,15832.0,37953180.0,78.33800000000001,86.0,33.0,60.0,36.0,32.0,0.868,8.68
119,PRT,Portugal,Western Europe,8.27,26.0,1.0,7.2,10.0,9.9,9.4,9.6,9.0,9.02,16.0,7.52,39.0,89.0,5.19500017166138,23224.0,10288527.0,81.655,60.0,3.0,63.0,29.0,40.0,0.848,9.120000000000001
120,QAT,Qatar,Middle East & North Africa,6.15,127.0,4.0,6.3,5.0,8.3,4.7,7.0,0.0,5.24,145.0,7.07,69.0,35.0,6.375,63633.0,2724728.0,79.98100000000001,95.0,23.0,63.0,29.0,41.0,0.848,7.94
121,COG,Republic of the Congo,Sub-Saharan Africa,5.8,137.0,4.0,3.4,8.8,7.7,9.4,6.7,8.8,6.52,100.0,5.08,154.0,124.0,4.29099988937378,2693.0,5110695.0,63.95399999999999,95.0,129.0,21.0,161.0,138.0,0.609,4.220000000000001
122,ROU,Romania,Eastern Europe,8.11,30.0,1.0,6.3,10.0,9.8,7.9,9.0,8.2,8.54,32.0,7.68,28.0,57.0,5.824999809265139,11007.0,19653969.0,75.79,77.0,19.0,48.0,59.0,52.0,0.813,6.890000000000001
123,RUS,Russia,Eastern Europe,6.34,114.0,3.0,4.0,10.0,7.7,4.6,6.1,9.0,5.9,127.0,6.78,85.0,49.0,5.962999820709231,11556.0,145530082.0,72.139,70.0,153.0,29.0,135.0,49.0,0.8220000000000001,7.43
124,RWA,Rwanda,Sub-Saharan Africa,6.82,82.0,3.0,5.4,8.8,8.6,6.0,6.3,6.3,6.38,107.0,7.26,56.0,151.0,3.47099995613098,779.0,11980961.0,68.34100000000001,95.0,104.0,55.0,48.0,157.0,0.529,6.1899999999999995
125,SAU,Saudi Arabia,Middle East & North Africa,5.42,149.0,4.0,5.3,5.0,7.6,3.2,5.6,0.0,4.32,157.0,6.52,107.0,37.0,6.343999862670901,20669.0,33101179.0,74.874,93.0,128.0,49.0,57.0,36.0,0.856,7.66
126,SEN,Senegal,Sub-Saharan Africa,6.57,102.0,3.0,4.7,6.4,7.5,9.0,8.3,3.8,6.97,79.0,6.17,124.0,115.0,4.53499984741211,1489.0,15419355.0,67.38,96.0,63.0,45.0,66.0,166.0,0.51,4.85
127,SRB,Serbia,Eastern Europe,7.3,58.0,2.0,4.4,8.8,9.3,8.3,8.5,8.2,7.71,52.0,6.89,80.0,73.0,5.39499998092651,4766.0,8829628.0,75.684,72.0,55.0,41.0,77.0,63.0,0.794,8.19
128,SYC,Seychelles,Sub-Saharan Africa,7.16,62.0,2.0,5.3,10.0,8.3,8.1,7.7,10.0,7.16,71.0,7.16,63.0,,,14058.0,96418.0,73.27600000000001,,,60.0,36.0,62.0,0.8,
129,SLE,Sierra Leone,Sub-Saharan Africa,5.99,132.0,4.0,3.9,3.0,7.3,8.5,7.3,3.8,6.27,112.0,5.71,145.0,106.0,4.70900011062622,467.0,7488423.0,53.895,,40.0,30.0,130.0,181.0,0.435,3.55
130,SGP,Singapore,South Asia,8.11,30.0,1.0,7.7,8.8,9.6,6.1,6.6,7.3,7.5,61.0,8.71,2.0,26.0,6.57200002670288,54309.0,5708041.0,83.279,70.0,12.0,84.0,6.0,9.0,0.934,9.33
131,SVK,Slovakia,Eastern Europe,8.02,33.0,1.0,6.1,10.0,9.6,7.7,9.3,9.0,8.54,33.0,7.51,40.0,40.0,6.09800004959106,19851.0,5447900.0,77.219,47.0,27.0,50.0,54.0,36.0,0.8540000000000001,8.200000000000001
132,SVN,Slovenia,Eastern Europe,7.97,35.0,1.0,6.5,10.0,9.7,9.0,9.4,9.0,8.78,23.0,7.15,67.0,62.0,5.75799989700317,25543.0,2076394.0,81.016,47.0,9.0,61.0,34.0,24.0,0.899,9.459999999999999
133,ZAF,South Africa,Sub-Saharan Africa,7.08,64.0,2.0,5.7,8.8,5.9,9.4,8.9,8.2,7.55,58.0,6.61,101.0,101.0,4.8289999961853,7487.0,57009756.0,63.538000000000004,91.0,125.0,43.0,71.0,113.0,0.7040000000000001,6.109999999999999
134,KOR,South Korea,East Asia,8.2,27.0,1.0,7.4,10.0,9.8,9.4,9.0,9.0,8.81,22.0,7.59,33.0,55.0,5.837999820709231,26341.0,51096415.0,82.62799999999999,44.0,43.0,54.0,51.0,22.0,0.904,9.370000000000001
135,ESP,Spain,Western Europe,8.12,29.0,1.0,7.0,8.8,9.4,8.0,9.2,9.0,8.69,30.0,7.55,36.0,34.0,6.40299987792969,32365.0,46647428.0,83.294,37.0,22.0,57.0,42.0,25.0,0.8909999999999999,9.200000000000001
136,LKA,Sri Lanka,South Asia,6.41,110.0,3.0,4.5,5.0,7.4,6.9,7.2,3.2,6.25,114.0,6.57,104.0,120.0,4.44000005722046,3907.0,21128032.0,76.648,99.0,72.0,38.0,91.0,71.0,0.7759999999999999,6.46
